Index ,Product Name ,Discounted Price ,Original Price ,Review Counts ,Badge
1,"
            How To Sell Products And Rank 1st On Etsy Search Page, Etsy Shop Seller Help Selling Guide, How To Rank On Etsy Shop Seller Handbook
        ",1.99,6.63,"
                    (19,163)
                ",No badge
2,"
            2000+ Coloring Pages Whole Shop Bundle PLUS Tile Style Posters / Includes Grayscale / Ultra HD images Download ready (evergreen updates)
        ",4.50,14.99,"
                    (21)
                ",No badge
3,"
            Jesus Christ, What a Year! Wall Calendar (2024), New Year Funny Wall Calendar, 2024 Jesus Calendar, Funny Birthday Gift Idea, Planner
        ",24.99,24.99,"
                    (81)
                ",No badge
4,"
            The Ultimate Notion Planner, Notion Template, Notion Planner, Notion Life Planner, Aesthetic Notion Planner, Light and Dark Themes
        ",10.14,20.27,"
                    (10,375)
                ",No badge
5,"
            Concert Journal | Track Favorite Concerts | Music Diary and Logbook (Paperback)
        ",15.00,20.00,"
                    (398)
                ",No badge
6,"
            Personalized Metal Guitar Capo with Wood Grain, Custom Message, Engraved Guitar Pick, Birthday Gift, Fathers days Gift for Guitarists
        ",18.98,29.20,"
                    (2,224)
                ",No badge
7,"
            Custom Wooden Guitar Picks Box,Personalized Guitar Pick Box Storage,Wood Guitar Plectrum Organizer Music,Gift for Guitarist Musician
        ",7.75,17.21,"
                    (12,992)
                ",No badge
8,"
            Reading Journal, Hardcover Reading Planner, Physical Book Journal, Reading Tracker, Book Review Notebook, Monthly Planner, Weekly Planner
        ",42.50,42.50,"
                    (290)
                ","
    Etsy’s Pick
"
9,"
            Personalized Lyric Journal - Songs Inside My Head, Song Writing Music Notebook, Music Gift, Song Writer Gift, Musicians Gift, Song Writing
        ",39.74,52.99,"
                    (240)
                ",No badge
10,"
            Personalized Wooden Guitar Picks Box,Custom Engraved Guitar Pick Box Storage,Guitar Plectrum Organizer,Music Gift for Guitarist Musician
        ",7.75,17.21,"
                    (12,992)
                ",No badge
11,"
            Carnet A5 poppy and leaves, Linocut.
        ",17.01,17.01,"
                    (123)
                ","
    Etsy’s Pick
"
12,"
            Reading Tracker Journal, Book Review Journal, Reading Planner, Book Club Gift, Physical Reading Planner, Book Lover Gift
        ",27.95,27.95,"
                    (290)
                ","
    Etsy’s Pick
"
13,"
            Leather Personalized Journal, Engraved Journal, Personalized Journal for Women, for Men, Leather Planner, a5 Notebook Cover, Dentist Gift
        ",39.75,75.00,"
                    (2,244)
                ",No badge
14,"
            Personalized Leather Music Journal | Musicians Stave Notebook / Song Writing Diary with Music Staff Paper | Music Score | Music Gift for Him
        ",68.97,86.21,"
                    (6,666)
                ",No badge
15,"
            Personalized Music Sketchbook from Vinyl | Gift for Musician | Gift for Music Lover | Music Album | Song Book |  Birthday Gift personalized
        ",56.58,56.58,"
                    (571)
                ","
    Etsy’s Pick
"
16,"
            A Year of Dates: A Box of Date night cards, the perfect Valentines present or paper anniversary gift for him.  A romantic valentines gift
        ",37.21,37.21,"
                    (7,964)
                ","
    Etsy’s Pick
"
17,"
            Ultimate Etsy Success Kit | Etsy Guide | Etsy shop | Etsy planner | Etsy workbook | Etsy seller | How to start an Etsy shop | Etsy workbook
        ",22.20,37.00,"
                    (402)
                ",No badge
18,"
            200 Oil Painting Midjourney Prompts | An Amazing Midjourney Guide Prompt | Just Copy and Paste
        ",3.94,5.25,"
                    (29)
                ",No badge
19,"
            Wooden Book Valet Tray, Wood Nightstand Book Page Holder, Gift for Book Lovers, Unique Book Nook, Gift for Mom, Birthday Gift, Tablet Ipad
        ",72.21,84.95,"
                    (40)
                ",No badge
20,"
            Personalized Coloring Book for Kids - Easter Color Book - Puppies and Kittens Color Book -  Toddler Easter gift idea
        ",14.99,14.99,"
                    (8,562)
                ",No badge
21,"
            Green Guitar Notes And Rad Riffs Notebook
        ",13.45,17.94,"
                    (19,145)
                ",No badge
